"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"Total Banca Multiple",1.31,0.37,2.64,2.16,2.84,2.55,3676,1.06,98569.71,3.28,41.94,85.91,9.24,11.94,2016-01-31,162.75,14.17,48.36,26.88,2.06,21.35
"Total Banca Multiple",1.34,0.27,2.71,2.2,3.01,2.56,3713,1.06,100220.88,3.24,42.81,85.13,9.26,12.12,2016-02-29,159.86,14.02,48.1,26.86,2.06,21.4
"Total Banca Multiple",1.24,0.31,2.7,2.19,2.89,2.61,3679,1.06,98253.94,3.22,43.44,84.58,9.15,10.48,2016-03-31,160.11,14.01,48.43,25.73,2.03,21.12
"Total Banca Multiple",1.24,0.29,2.77,2.22,3.1,2.62,3694,1.06,97189.7,3.19,43.43,84.64,9.16,10.25,2016-04-30,156.83,14.74,46.76,26.01,2.02,20.96
"Total Banca Multiple",1.27,0.3,2.86,2.34,3.12,2.75,3703,1.1,98675.05,3.18,43.07,84.25,9.06,10.31,2016-05-31,154.24,14.77,45.22,26.53,1.99,20.62
"Total Banca Multiple",1.24,0.3,2.87,2.36,2.97,2.82,3845,1.13,96362.73,3.16,43.26,84.25,9.08,9.99,2016-06-30,154.81,14.97,44.66,26.01,1.97,20.34
"Total Banca Multiple",1.27,0.39,2.85,2.35,2.93,2.81,3777,1.13,98316.86,3.13,43.15,84.18,9.01,10.25,2016-07-31,155.55,15.02,42.06,28.92,1.96,20.16
"Total Banca Multiple",1.2,0.36,2.91,2.41,2.98,2.88,3820,1.16,99836.23,3.12,43.07,84.02,8.94,10.25,2016-08-31,153.61,15.09,41.84,30.81,1.93,19.74
"Total Banca Multiple",1.21,0.29,2.86,2.4,2.91,2.83,3823,1.19,98681.46,3.11,42.99,84.06,8.95,10.26,2016-09-30,156.43,15.24,41.97,30.39,1.96,19.86
"Total Banca Multiple",1.24,0.27,2.95,2.44,3.03,2.91,3775,1.2,98512.67,3.2,42.93,84.06,9.23,10.16,2016-10-31,152.92,15.17,42.02,29.68,1.97,19.79
"Total Banca Multiple",1.25,0.29,2.96,2.46,3.11,2.89,4500,1.19,99289.28,3.12,42.93,84.05,8.97,10.23,2016-11-30,152.86,15.18,44.06,29.01,1.99,19.72
"Total Banca Multiple",1.24,0.33,2.8,2.37,2.71,2.84,3828,1.23,98778.78,3.11,43.02,83.89,8.95,10.16,2016-12-31,160.6,15.15,43.91,27.4,2.02,19.86
"Total Banca Multiple",1.23,0.34,2.96,2.46,2.92,2.97,3811,1.22,100453.26,3.11,40.63,84.78,8.94,10.11,2017-01-31,153.75,15.15,43.83,29.91,2.04,19.75
"Total Banca Multiple",1.27,0.3,2.98,2.39,2.86,3.04,3942,1.21,100825.1,3.12,42.68,84.29,8.91,10.08,2017-02-28,152.71,15.15,42.95,32,2.02,19.32
"Total Banca Multiple",1.32,0.25,3.01,2.52,2.85,3.08,3792,1.26,100496.01,3.13,42.16,83.79,8.95,9.41,2017-03-31,153.19,15.16,43.44,31.59,2.04,19.32
"Total Banca Multiple",1.33,0.26,3.06,2.57,2.91,3.13,3815,1.25,101342.52,3.13,42.41,83.91,8.91,9.28,2017-04-30,152.53,15.78,42.97,31.42,2.04,19.19
"Total Banca Multiple",1.35,0.25,3.15,2.7,2.94,3.24,3829,1.27,103339.71,3.12,42.27,83.78,9,9.31,2017-05-31,150.79,15.78,42.7,32.3,2.03,18.95
"Total Banca Multiple",1.46,0.29,3.09,2.67,2.83,3.21,3798,1.31,102435.19,3.13,42.52,83.7,8.95,9.05,2017-06-30,154.24,15.86,44.08,30.48,2.05,18.96
"Total Banca Multiple",1.37,0.31,3.12,2.67,2.78,3.28,3836,1.28,102066.74,3.13,42.32,83.57,9.03,8.88,2017-07-31,152.89,15.76,44.89,28.1,2.08,19.02
"Total Banca Multiple",1.28,0.39,3.11,2.7,2.71,3.3,3856,1.33,103326.56,3.14,42.23,83.53,9.06,9.01,2017-08-31,154.16,15.94,41.21,32.07,2.1,19.04
"Total Banca Multiple",1.39,0.27,3.08,2.65,2.63,3.3,3861,1.36,105594.76,3.13,42.24,83.49,9.04,9.16,2017-09-30,154.35,15.95,39.95,37.38,2.09,18.77
"Total Banca Multiple",1.34,0.3,3.14,2.7,2.66,3.37,3885,1.34,106998.25,3.14,42.34,83.49,9.05,9.16,2017-10-31,152.29,15.81,41.52,36.98,2.07,18.53
"Total Banca Multiple",1.29,0.23,3.12,2.69,2.57,3.39,3917,1.34,107847.93,3.14,42.45,83.37,9.05,9.15,2017-11-30,151.53,15.58,42.44,36.65,2.07,18.41
"Total Banca Multiple",1.49,0.26,3.04,2.63,2.52,3.3,3962,1.35,110480.65,3.13,42.5,82.34,8.91,9.32,2017-12-31,152.61,15.33,44.91,34.32,2.08,18.32
"Total Banca Multiple",1.39,0.24,3.12,2.71,2.54,3.41,3947,1.38,112961.19,3.12,37.35,83.89,8.93,9.33,2018-01-31,152.49,15.33,46.28,34.89,2.1,18.42
"Total Banca Multiple",1.27,0.24,3.24,2.73,2.58,3.57,3963,1.38,111739.53,3.12,40.73,83.17,8.91,9.27,2018-02-28,149.1,15.23,44.31,36.87,2.11,18.44
"Total Banca Multiple",1.38,0.2,3.07,2.62,2.5,3.35,3998,1.39,110908.13,3.12,40.76,82.81,8.89,8.71,2018-03-31,153.73,15.11,43.62,36.12,2.14,18.61
"Total Banca Multiple",1.32,0.2,3.11,2.65,2.53,3.39,4048,1.36,110407.48,3.13,41.34,82.11,8.89,8.47,2018-04-30,151.93,15.78,44.16,32.05,2.17,18.7
"Total Banca Multiple",1.3,0.2,3.14,2.69,2.51,3.45,4104,1.36,113222.78,3.14,41.28,82.02,8.88,8.48,2018-05-31,150.31,15.57,45.98,28.94,2.18,18.75
"Total Banca Multiple",1.38,0.21,3.1,2.65,2.44,3.43,4101,1.4,113071.61,3.12,41.32,81.63,8.82,8.51,2018-06-30,151.39,15.41,44.86,28.45,2.19,18.7
"Total Banca Multiple",1.51,0.22,3.18,2.7,2.58,3.47,4118,1.37,113403.05,3.14,41.61,81.56,8.81,8.45,2018-07-31,148.74,15.07,47.12,26.72,2.19,18.6
"Total Banca Multiple",1.5,0.21,3.23,2.73,2.7,3.47,4133,1.42,114817.54,3.14,41.52,81.46,8.81,8.51,2018-08-31,148.22,15.14,47.95,26.97,2.19,18.56
"Total Banca Multiple",1.3,0.21,3.07,2.63,2.58,3.3,4161,1.45,113825.64,3.15,41.7,81.43,8.79,8.4,2018-09-30,151.83,15.14,45.87,26.65,2.2,18.54
"Total Banca Multiple",1.31,0.23,3.1,2.66,2.6,3.33,4197,1.44,116125.72,3.15,41.75,81.4,8.78,8.7,2018-10-31,150.28,15.09,45.17,26.62,2.21,18.53
"Total Banca Multiple",1.44,0.19,3.07,2.66,2.55,3.32,4223,1.47,118701.25,3.17,41.93,81.43,8.79,8.85,2018-11-30,151.71,14.77,44.15,27.4,2.22,18.52
"Total Banca Multiple",1.38,0.21,2.95,2.55,2.36,3.23,4289,1.49,119891.96,3.19,42.17,81.46,8.91,8.89,2018-12-31,153.58,14.66,44.46,27.02,2.21,18.41
"Total Banca Multiple",1.48,0.19,3.04,2.62,2.45,3.31,4220,1.47,121568.81,3.2,40.24,82.74,8.87,8.96,2019-01-31,152.21,14.66,46.37,28.64,2.2,18.25
"Total Banca Multiple",1.48,0.18,3.05,2.58,2.4,3.34,4162,1.49,123148.75,3.2,42.09,82.27,8.88,8.93,2019-02-28,152.19,14.6,48.91,29.36,2.21,18.26
"Total Banca Multiple",1.52,0.17,2.99,2.51,2.31,3.31,4444,1.48,128249.81,3.19,41.01,82.34,8.9,8.25,2019-03-31,152.96,14.71,49.77,28.53,2.21,18.2
"Total Banca Multiple",1.32,0.19,3.05,2.56,2.35,3.37,4286,1.47,130546.64,3.18,41.29,82.15,8.91,8.26,2019-04-30,150.02,15.25,48.97,27.99,2.22,18.28
"Total Banca Multiple",1.56,0.18,3.11,2.65,2.35,3.46,4493,1.48,134151.78,3.17,40.97,82.1,8.92,8.44,2019-05-31,147.93,15.15,49.3,26.94,2.22,18.22
"Total Banca Multiple",1.47,0.21,3.08,2.62,2.36,3.41,4311,1.47,130617.86,3.17,40.83,82.24,8.98,8.29,2019-06-30,149.34,14.96,48.5,27.1,2.24,18.39
"Total Banca Multiple",1.52,0.22,3.13,2.63,2.41,3.45,4333,1.47,132050.11,3.14,40.27,82.3,9.04,8.49,2019-07-31,147.7,14.82,48.93,26.25,2.29,18.82
"Total Banca Multiple",1.57,0.2,3.13,2.63,2.37,3.47,4392,1.44,135866.11,3.14,40.15,82.41,9.05,8.54,2019-08-31,147.95,14.66,50.58,26.59,2.31,18.93
"Total Banca Multiple",1.5,0.18,3.1,2.67,2.38,3.43,4374,1.46,135501.62,3.12,40.34,82.3,9.04,8.53,2019-09-30,149.12,14.75,51.29,27.71,2.3,18.89
"Total Banca Multiple",1.44,0.19,3.05,2.64,2.31,3.38,4482,1.45,137172.74,3.1,40.82,82.13,8.99,8.6,2019-11-30,150.88,14.92,49.08,28.77,2.29,18.73
"Total Banca Multiple",1.52,0.25,3.02,2.61,2.28,3.34,4445,1.44,138557.7,3.08,41.11,82.02,8.94,8.49,2019-12-31,152.14,14.54,49.6,27.03,2.25,18.34
"Total Banca Multiple",1.5,0.19,3.09,2.64,2.31,3.43,4456,1.45,139457.03,3.11,39.05,82.94,9.04,8.65,2020-01-31,150.17,14.57,49.68,26.97,2.24,18.29
"Total Banca Multiple",1.45,0.16,3.09,2.62,2.37,3.4,5006,1.43,141382.51,3.06,40.35,83.08,8.97,8.69,2020-02-29,149.54,14.27,49.33,28.49,2.25,18.31
"Total Banca Multiple",1.3,0.22,3.15,2.53,2.34,3.5,4550,1.42,144926.93,3.04,41.55,83.17,8.87,8.83,2020-03-31,148.95,14.18,47.1,28.65,2.12,17.17
"Total Banca Multiple",1.49,0.28,3.38,2.63,2.57,3.74,4642,1.37,149322.68,2.99,41.92,83.86,8.68,8.4,2020-04-30,146.38,14.32,50.87,27,1.94,15.76
"Total Banca Multiple",1.42,0.47,3.08,2.54,2.55,3.28,4961,1.31,163737.25,2.91,41.73,84.54,8.49,8.91,2020-05-31,161.22,14.63,51.56,29.72,1.76,14.36
"Total Banca Multiple",1.29,0.42,3.15,2.59,2.68,3.33,5027,1.37,167239.65,2.83,41.75,84.74,8.29,9.02,2020-06-30,168,14.77,52.48,34.24,1.56,12.93
"Total Banca Multiple",1.44,0.5,3.02,2.6,2.69,3.14,5138,1.42,172541.93,2.78,42.22,84.44,7.98,9.27,2020-07-31,183.55,14.8,56.63,34.9,1.34,11.2
"Total Banca Multiple",1.33,0.58,3.1,2.55,3.12,3.1,5206,1.48,174763.42,2.71,42.24,84.22,7.71,9.42,2020-08-31,188.43,14.8,56.4,40.65,1.14,9.72
"Total Banca Multiple",1.21,0.59,3.29,2.89,3.23,3.31,5210,1.57,175501.9,2.63,42.46,83.86,7.43,9.37,2020-09-30,187.32,15.54,54.24,45.25,0.97,8.31
"Total Banca Multiple",1.18,0.6,3.52,3.06,3.41,3.55,5259,1.65,177510.49,2.56,42.66,83.6,7.18,9.39,2020-10-31,182.18,15.66,53.87,47.41,0.78,6.84
"Total Banca Multiple",1.11,0.62,3.7,3.22,3.46,3.78,5262,1.71,180009.36,2.49,42.93,83.28,6.94,9.41,2020-11-30,178.42,15.54,51.5,49.61,0.61,5.39
"Total Banca Multiple",1.12,0.72,3.8,3.36,3.45,3.92,5302,1.72,182689.9,2.44,43.4,82.75,6.67,9.49,2020-12-31,177.68,15.54,49.17,52.23,0.44,3.96
"Total Banca Multiple",1.15,0.65,3.84,3.43,3.49,3.96,5298,1.76,186253.97,2.38,41.19,80.55,6.41,9.55,2021-01-31,176.58,15.52,50.64,54.11,0.34,3.09
"Total Banca Multiple",1.23,0.66,3.84,3.42,3.54,3.95,5289,1.81,189797.83,2.32,44.85,80.17,6.11,9.62,2021-02-28,177.4,15.38,54.03,53.61,0.24,2.25
"Total Banca Multiple",1.27,0.55,3.75,3.33,3.51,3.84,5334,1.9,190772.91,2.3,45.55,80.18,5.99,9.19,2021-03-31,183.5,15.57,55.02,52.97,0.25,2.39
"Total Banca Multiple",1.08,0.53,3.63,3.24,3.48,3.68,5426,1.92,191241.42,2.29,46.02,80.16,5.92,9.09,2021-04-30,184.28,16.25,54.9,50.68,0.32,3.06
"Total Banca Multiple",1,0.51,3.57,3.18,3.42,3.62,5544,1.89,189302.28,2.3,45.84,79.89,5.82,9.08,2021-05-31,183.01,15.75,49.3,48.8,0.4,3.86
"Total Banca Multiple",1,0.49,3.6,3.16,3.37,3.69,5604,1.9,193281.02,2.33,45.49,80,5.78,9.27,2021-06-30,180.76,15.53,48.72,44.21,0.49,4.77
"Total Banca Multiple",1.05,0.49,3.66,3.11,3.43,3.75,5753,1.92,198130.34,2.33,45.3,80.41,5.86,9.36,2021-07-31,174.04,15.44,47.6,43.85,0.61,5.92
